computer science,c100000
arts/comm / science,c116179
elementary teacher traing,c116180
diet,c116181
phyaical education,c116182
mathematics social biological science english,c116183
pedagogy hindi teaching de 305,c116184
teaching english,c116185
philosophy sociology psychology educational technology micro teaching lab practical sessional activities guidence and councelling teaching practice science metods bengali english sanskrit history geography,c116186
mathematics physical science biological science social studies english telugu methodologies,c116187
teaching physical science teaching biological science teaching mathematics teaching home science teaching social studies teaching english teaching hindi teaching sanskrit teaching commerce,c116188
language social science art and cramusic ph edu education,c116189
science com arts,c116190
philosphical foundation education,c116191
industrial aquaculture and fisheries,c116192
special education id,c116193
medm,c116194
d eled course,c116195
elementary and education,c116196
medsemr,c116197
attedance computer,c116198
as per syalabus,c116199
computer sub,c116200
deied,c116201
special education visual impairment,c116202
a history,c116203
yoga physical and health education 1,c116204
special sede,c116205
education emerging indian society psychology learner and taching learning process development indian educaion science organization and health education technology teaching methods teaching science subjects guidance and counselling measurment,c116206
hindi political science botany mathematics history english home science commerce drawing painting music sanskrit science,c116207
urudu,c116208
artssccomm,c116209
d ted training,c116210
bengal,c116211
dedsevi,c116212
educational technology,c116213
poltical science economics hindi,c116214
training course,c116215
education telugu english mathematics general science social studies,c116216
teacher s education,c116217
b voc construction technology,c116218
food apparel and textile,c116219
b voc media and communication,c116220
bengali english mathematics sanskrit physical science history,c116221
education evs english hindi math dogri urdu gojari science sst,c116222
foundation pedagogy special paper,c116223
hindhi,c116224
mathematics biology social telugu english spl english,c116225
guidance and counselling pt,c116226
17 papers,c116227
educatry,c116228
paper iii iii iv methodology elective subject,c116229
odl,c116230
madhyama vocal,c116231
sanskrit hindi,c116232
bengali english hindi mathematics physical science economics history geography,c116233
el educaton,c116234
primary educationcation,c116235
e learning,c116236
fcie,c116237
pac cas psyco evs eng punjabi hindi physical edu,c116238
bedsevi,c116239
multidisciplinary,c116240
aircramaintenance engineering,c116241
sst science snk eng,c116242
h and phed1,c116243
education tibetan language general english botony zoology mathematics,c116244
girls,c116245
medical eduction,c116246
teaching music,c116247
edu training,c116248
hrve arts,c116249
eltx,c116250
teaching subject,c116251
eduucation,c116252
mathematics science method,c116253
deled cource,c116254
methods teaching,c116255
philospical perspective education understanding the learner tlp art librery sociological perspective education knowlegde curriculm educational policy ict science management teaching subject health and physical education gender science anv,c116256
proficiency english,c116257
quality,c116258
hi special eduacation,c116259
mscert,c116260
eng mil hist pol science sans eco,c116261
psy so,c116262
eucation,c116263
dted education,c116264
pd yoga science,c116265
second year,c116266
computer and commercila prctice,c116267
edm and so,c116268
marathi hindi english math physical education etc,c116269
sujects,c116270
history education odia english pol science economics,c116271
as per instutete,c116272
b voc applied art,c116273
eeis dltlp eete besifsp method optaional,c116274
childhood child development and learning society education and curriculum early childhood care and education understanding language and language development at primary level mother tongue telugu/ urdu understanding mathematics and early mathematics,c116275
b voc degree production technology,c116276
preschool education,c116277
b voc refrigeration and airconditioning,c116278
applied computer technolgoy,c116279
methods teaching telugu,c116280
ceramic technology community college,c116281
yeas,c116282
educatgion,c116283
language perspective education science social science performing art physical education,c116284
geog pols socio sans hindi hist,c116285
home science english geography hindi history sanskrit social study biology gen science book keeping comm practice economics,c116286
economics ss,c116287
accounting and taxation,c116288
bengali english history geography sanskrit life science,c116289
learning enrichment through information and communication tech,c116290
certificatte,c116291
english/hindi/marathi/ science science,c116292
marathi/english,c116293
mahm,c116294
geography and sanskrit,c116295
education indian society,c116296
dedsemr,c116297
1 philosophy2 pscyology3 science mangament 4 education techology computer education5 personality development and communicative english 6 method 1 /english/telugu7 method ii mathematics/biology/social,c116298
edu good,c116299
family education,c116300
ship,c116301
hindi political science english geographay,c116302
special education hearing impairement,c116303
ede 0601,c116304
bilogy,c116305
customs clearance and freight forwarding,c116306
pol science sst punjabi hindi english science,c116307
subject primary teacher,c116308
electronicsnication and commu,c116309
mechanical engineering self supporting,c116310
commerce science humanitees,c116311
bengali english mathematics,c116312
rts science commer,c116313
esst mathematics,c116314
civil engineering environmental engineering,c116315
cwpw,c116316
yoga for human education,c116317
social steudies,c116318
special education and rehabilition,c116319
education emerging india education psychology elementary education prespectives primary and pre primary education capacity building telugu english mathematics science social,c116320
commerce and accountancy,c116321
etet and instructional process,c116322
neuro and vascular interventional radiology,c116323
nice,c116324
specail edu,c116325
social science history geography economics education language english bengali mathematics science life science physical science,c116326
dpse,c116327
dtediiyr,c116328
foundation specilisation,c116329
indian socisty and education edu psy math assesment marathi hindi work edu science soc science eng edu resesrch lession plan and practice lession microteaching internship 2 week etc,c116330
art science commers,c116331
art science and commerce,c116332
marathi hindi english science mathematics history geography economics commerce,c116333
arts science commerce ag science,c116334
arts commers science,c116335
science pune,c116336
knowledge and curriculu,c116337
gen science biology chemistery,c116338
eng beng hist geo pol science edc,c116339
cag cie dmse icte lac gss lat aol,c116340
b voc renewable energy management,c116341
science 122105,c116342
arts and science com,c116343
leather and fashion technology,c116344
functional/ spoken english,c116345
padagogy across the curriculum,c116346
cped,c116347
early child hood care and education with credits distance education,c116348
hearing imparired,c116349
english marathi hindi,c116350
bookeeping,c116351
early childhood care,c116352
leather technology sw,c116353
advance agriculture and soil science community college,c116354
soch,c116355
teacher trainning,c116356
hindi geog pols hist,c116357
industrial micro,c116358
reading and reflecting on texts drama and art education critical understanding ict,c116359
econnomics,c116360
renewable energy and automobile,c116361
foundation education psychology teaching and learning science management and issues education information and communication technology ict education methods english and telugu physical science and social studies mathematics and biology,c116362
asd,c116363
arts science and comm,c116364
economics history odia,c116365
integrated babed /integrated bscbed,c116366
arts/ science commerce,c116367
arts science commarce,c116368
general subjects and methods,c116369
teaching subjet,c116370
teacher's training,c116371
content and pedagogy biological science,c116372
science art commerece,c116373
hindi sanskrit education physiology anc history political science sociology,c116374
english malayalam mathematics natural science physical science social science and commerce,c116375
et crm,c116376
jbt training,c116377
b lib,c116378
bedsehi,c116379
fyptc,c116380
history geography civics economics home science english hindi urdu zoology botany math and other science subject,c116381
hrm marketing finance,c116382
education hindi sanskrit civics social science math general science biology book keeping and cp,c116383
d eled,c116384
education asedu,c116385
health and physical edu part i,c116386
subject education,c116387
special education visual impairmen,c116388
art science com,c116389
inclusive education,c116390
teachers,c116391
content and pedagogy commerce,c116392
programme releted,c116393
econimics political science history,c116394
civics hindi history sanskrit ss science bio book keeping commerce,c116395
evaluation,c116396
dped,c116397
elementary educati1ducation,c116398
general science social science mathematics,c116399
educatipn,c116400
enlish marathi,c116401
basic education and communication,c116402
geography political science hindi litrature,c116403
primary teacher education,c116404
education and management,c116405
marathi hindi english science mathematics history geography,c116406
teaching learning,c116407
beng eng geo sns hist math psclsc,c116408
knowledge,c116409
shiksha manovigyan,c116410
history geography social science sanskrit hindi civics english genaral science bilogy book keeping gen commerce geography,c116411
capacity buildings,c116412
as per rtm university nagpur,c116413
as per ncte,c116414
bengali english sanskrit mathematics life science physical science history geography political science education,c116415
science leadership and management,c116416
siksha,c116417
spl edn,c116418
guidance and counselling a,c116419
ycmou,c116420
art and aesthetics ine du part ii,c116421
training subjects,c116422
education and allied pedagogies,c116423
nmu jalgaon,c116424
food proc and quality mgt,c116425
educational leadership,c116426
computer subject prescrived by ncert,c116427
special method,c116428
rm and it,c116429
it and retail management,c116430
m phil education,c116431
cgu lac udsp udsp cie l and t al k and c cis cui gs and s pe/g and c/sd/hre,c116432
mritak asrit btc,c116433
educational planning and administration,c116434
knowlege and curriculum,c116435
spl edn vi,c116436
mathematics physical science biological science social studies and english,c116437
ss hindi history sanskrit economice civics home secience biology general sec book keeping commerce pra,c116438
advnce edu tech curriculum design and development quality assurance edu mangt ofedu guidance and conc psy learning and development intro tores method,c116439
peace and value education,c116440
lac,c116441
moral science,c116442
catering and hospitality,c116443
english telugu mathematics physical science biological science social studies and foundation,c116444
english mathematics science and social science,c116445
a and m,c116446
education bengali english history geography pol science sanskrit lif science phy science work education,c116447
elementary education e,c116448
padm,c116449
geography pol science hindi sociology english history,c116450
8sub,c116451
bedmed,c116452
as above,c116453
adult continuing education and extension and hrm,c116454
economics methology,c116455
bengla,c116456
arts comerce science,c116457
teaching math,c116458
content and pedagogy mathematics,c116459
maarathi,c116460
intermedite,c116461
pe101 pe102 cp103 cp104,c116462
eeis dltlp eete desi and fsp methodology ed,c116463
del ed,c116464
mscof state gov,c116465
civics home science economics english geography hindi history mathematics sanskrit socialstudies biology general science book keeping comm practice botany,c116466
hindi final,c116467
kan/eng,c116468
basics edu and communication,c116469
mar eng hindi etc,c116470
as per govt,c116471
hindi geography,c116472
ducation,c116473
tamil english mathematics bio bio science history economics computer science,c116474
1 2 3 biology 4 math's 5 general science,c116475
special english course for international students,c116476
english education,c116477
science social science mathematics,c116478
english telugu mathematics biology physical science social studies,c116479
bengali english envs child studies art sangeet phy education,c116480
bengali english history geography education political science life science physical science mathematics,c116481
beng eng math life science phy science his edu sans pol science philo acct geog hindi,c116482
mathematics sociel,c116483
communicative english and writing,c116484
bank training programme,c116485
educatino,c116486
arts punjabi,c116487
mechanicla engineering,c116488
medical equipment technology,c116489
7/9,c116490
mscbed mathematics 5yr integrated,c116491
history geography sanskrit work education bengali english,c116492
english mathematics hindi urdu psychology education,c116493
sahitya vyakran joytish,c116494
btc 2012,c116495
science and artrt,c116496
building technology food processing and engineering,c116497
pre science education,c116498
vocation study,c116499
as applicabmle,c116500
in service,c116501
science art comerce,c116502
c and gu,c116503
1 bhartiy samaj ani prathamik shikshan adhyayn v adhyapnache mansshastra 3 shishnik mulyamapan 4 shishanik vyavshapan marathi hindi mathematics karyshikshan draving music physical education prathmik shikshan mahiti sampreshan krutisans,c116504
education p/t week end programme,c116505
educartion,c116506
art commerce and science,c116507
language science social science math,c116508
science mathematics hindi social studies sanskrit computer education englisharts and music physical education and health education urdu teaching social science contionous education and peace ductation,c116509
bachalor education,c116510
bengali english mathematics life science geography history,c116511
educational,c116512
arts science commmerce,c116513
philosophy sociology psychology i and ii evaluation management ict guidance and counselling or evs method i and method ii,c116514
education hindi,c116515
english hindi science math sanskrit social science economics commerce,c116516
course code 101 102 103 104 105 106 107 a 107 b 108,c116517
master art's,c116518
science mathematics ss,c116519
physical director,c116520
education and enriched,c116521
disciplinery,c116522
child study,c116523
human growth and development introduction to sensory and neurow disability contemporary education india,c116524
pune,c116525
baiology,c116526
fundamentals contemporary indian edu,c116527
kan,c116528
teaching history,c116529
languages mathematics social science education subjetes,c116530
btc training 2013,c116531
primary science subjects,c116532
commerce education malayalam education natural science education physical science education social science education,c116533
understanding self 1,c116534
acoount/commerce methodology,c116535
teacher education secondary,c116536
deledii year,c116537
as per tu syllabus,c116538
bengali history geography education sanskrit,c116539
prncipal,c116540
tti,c116541
bengali english mathematics physical science history geography commerce sanskrit life science hindi work education,c116542
eng mar,c116543
discilpine,c116544
pedagogy and core subjects,c116545
mematicsath,c116546
arts/commerce science,c116547
dep,c116548
gs bio geo civis hindi history sankrit english gen comm financial a/c,c116549
murshidabad,c116550
hsc /geog,c116551
science 122961,c116552
philosophical perspective edu understanding the lerner teaching lerner process top toh toe tophy toeco tosst tohis tocomm tocomputer tomath tosci art eduction exploring library and other learning resources,c116553
methodlogies and languages,c116554
teacher emerging indian society psychology the learners and the learning process development educational system and management essentials educational technology and evaluation sanskrit education methodest,c116555
bengali english sanskrit physical science life science mathematics education geography and history,c116556
education malayalam,c116557
tamil english mathematics physical science bio science history commerce economics computer science,c116558
gujarat govermnent,c116559
early childhood care education,c116560
hindi punjabi english science social science history mathematics,c116561
special education mental impairment,c116562
general and method papers,c116563
full course,c116564
as per college,c116565
electiral,c116566
edacation,c116567
gujarati hindi english sanskrit mathematics science account economis social science,c116568
arts english odia history pol science economics,c116569
state gov,c116570
health and physical eud part ii,c116571
biologe,c116572
genera,c116573
electrical and electronics engineering self supporting,c116574
community education and development,c116575
hindi english pilitical science history geography d and p,c116576
descipline,c116577
child development educational technology education and society teaching mathematics teaching english teaching hindi evs art education work education health and physical education,c116578
shiksha shastra,c116579
history final,c116580
excellant,c116581
hindi english economices geography civics chemisry bio general science home science,c116582
1 hindi 2 sanskrit 3 english 4 geography 5 history 6 social studies 7 civics 8 economics 9 home science 10 book keeping 11 commerce practice 12 13 general science 14 biology 15 botany 16bsc agriculture mathematics,c116583
preservice,c116584
pedagogy across curriculum and ict integration,c116585
deded,c116586
mathematics methodology,c116587
mathematics int,c116588
teaching commerce,c116589
innovative,c116590
medsevi,c116591
boys,c116592
soware development and hospitality and tourism,c116593
animation and graphic designing,c116594
english speaking,c116595
deced,c116596
sociology and economics,c116597
science subjects methdology,c116598
ss kan,c116599
mcphm,c116600
physical related subject,c116601
d ed6,c116602
advanced operation theatertechnology,c116603
ind sociology,c116604
baou,c116605
e banking,c116606
hindi english history soclogy,c116607
arts psychology hons,c116608
social science kannada,c116609
poitical science,c116610
ncc,c116611
cah,c116612
g and c,c116613
teacher tratining,c116614
end,c116615
social studies bengali history natural science geography mathematics,c116616
english political eonomics history,c116617
english malayalam physical science mathematics social science,c116618
traning,c116619
fiveseven subjects,c116620
education leadership and managemetn,c116621
medical education,c116622
english malayalam natural science and social science,c116623
sp method,c116624
english/education,c116625
art and aesthetics edu part i,c116626
dedsehi,c116627
edu studies,c116628
mathematics physical science biological science social studies english,c116629
educational subject,c116630
english methodology,c116631
physical science mathematics biologicalsciences social studies english telugu,c116632
techer,c116633
history geography social science sanskrit hindi civics english gen science biology book keeping gen science,c116634
hindi and political science,c116635
psychological perspective education sociological perspective education philosophical perspectives education,c116636
science methodology,c116637
teacher educator,c116638
english int,c116639
teaching practice for pedagogy science subject i and ii,c116640
fundamentals contemporary indian education,c116641
english hindi math ss commerce eco,c116642
bengali english education sanskrit history geography sociology mathematics physical science life science physical education and computer science,c116643
art hindi english sanskrit civics social studies history science biology general science home science commerce accountancy banking bus admi,c116644
technician,c116645
education tibetan language general english history economics geography english literature,c116646
urdu english marathi,c116647
bengali english sanskrit hindi history geography pol science mathematics life science and physical science,c116648
pre primary,c116649
adult and continuing education inter disciplinary,c116650
endangered languages,c116651
co educatioan,c116652
egucation,c116653
bengali english history geography education mathematics physical science life science music sanskrit,c116654
teaching hindi,c116655
multimedia g and a,c116656
electronis,c116657
teaching methods,c116658
eng/mal/ science education/mathematics/ss/early child hood,c116659
ss eng,c116660
edducation,c116661
speech therapy,c116662
d ed urdu,c116663
indian society and primary education psology educationl evaluation mangement mathematics phy education marathi hindi cra,c116664
vocational and technical education,c116665
mathematics biology social english telugu,c116666
radilogy and imaging,c116667
education and methods,c116668
bengali english history geography mathematics life science work education,c116669
sugama sangeet,c116670
educational management and administration,c116671
civil engineering water resources management,c116672
jiwaji,c116673
science administration philosophy psychology edu tech teaching subjects,c116674
educationmathematicsmathematics,c116675
advanced cardiac lab technology,c116676
specail education,c116677
psychology learning and development historical political and economic foundation edu education studies intro to educational research,c116678
drg and ptg,c116679
arts math hons,c116680
foundation pedagogy,c116681
pre service teacher education,c116682
sikshak,c116683
education and other science subject,c116684
computer educational subjects,c116685
extension and career guidance,c116686
english method,c116687
special ed,c116688
labour managemrnt,c116689
gujarati history,c116690
understanding inclusive edu,c116691
psychology education,c116692
bngs engs pols hiss phls sans mtms lfss phys peds edcs geos muss fars,c116693
health profession education,c116694
education 484,c116695
elem education,c116696
tamil english mathematics physical science biological science computer science history commerce and economics,c116697
b ed/education,c116698
beng eng science math geog hist sans,c116699
malayalam english mathematics evs art education work education physical education physical education general science social science phycology pedagogy,c116700
9/15,c116701
content and pedagogy sanskrit,c116702
mlssmtnsps,c116703
eduatiion,c116704
society education and curriculum,c116705
geoh,c116706
content and pedagogy social science,c116707
education/b ed,c116708
as per syllyabas,c116709
m ed,c116710
bedin mathematics physical science biologicalscience social studies special english english telugu,c116711
shiksha mitra,c116712
geography method,c116713
emergency medicine technology,c116714
bengali education english geography history life science mathematics physical science sanskrit visual art work education,c116715
bengali english history philosophy mathematics physical science life science education,c116716
hindi sanskrit english and mod history political science,c116717
primery teacher education,c116718
bengali english education gegraphy history mathematics philosophy physical science political science sanskrit,c116719
env ed,c116720
ptc d ed,c116721
asc,c116722
teaching home science,c116723
education and science subject,c116724
arts science commerce math,c116725
private un aided,c116726
art and aesthetics edu part ii,c116727
english bengali sanskrit education geography history work education physical education art and cramath life science,c116728
perspectives education and pedagogies science subjects,c116729
mar hindi we mathematics is and pe psy ee phy edu em,c116730
adult continuing and extension education,c116731
marathi sociology politics hindi,c116732
psychological external,c116733
committee,c116734
foundation course,c116735
history geography sanskrit hindi english social studies civics mathematics gen science,c116736
art /commorce/ science,c116737
engh,c116738
english assamese garo political science economics education history philosophy geography,c116739
bengali english sanskrit history geography education life science physical science mathematics accountancy and book keeping,c116740
commerce english hindi malayalam natural science physial science sanskrit social science english hindi malayalam natural science physical science sanskrit and social science,c116741
accont bom,c116742
gender issues edu,c116743
com sub,c116744
teaching economics,c116745
ct technical course,c116746
marathi hindi english history science mathematics commerce,c116747
yoga theraphy,c116748
foundation education malayalam english and core subjects,c116749
bengali english sanskrit life science mathematics physical science history geography music,c116750
population and development edu,c116751
hindi external,c116752
and comm,c116753
vid vocal,c116754
integrated bedmed,c116755
beng eng math l and p science edn geo hist sans,c116756
bachelor educatio,c116757
sankrit gujarati method,c116758
eng hindi pbi science history computer education commerce social studies political science economics fine art physical education mathematics,c116759
adolescent health and counseling,c116760
marathi / hindi / english,c116761
pdem,c116762
elementery education,c116763
knowledge based subject content and methods teaching practical based area computer optional subject,c116764
primary training,c116765
guidance,c116766
tamil english math science social,c116767
training subject,c116768
educatian,c116769
shiksha shasrti,c116770
mar eng hind his gog math science,c116771
content and pedagogy physical science,c116772
marathi hindi english sanskruit history geography economics science mathematics,c116773
ecucation,c116774
dipoloma,c116775
bengali english hist geo physc lfsc phyliogophy edu,c116776
philosophical and social foundation education psychological foundations education methodolofgy educational research educational technoloigy teacher education computer education,c116777
elimentery education,c116778
arts science com,c116779
university syllabus,c116780
eduacation,c116781
marathi english mathematics history science geography hindi,c116782
english bengali history geography mathematics physical science education arbic sanskrit music food and nutration political science,c116783
btc course,c116784
english bengali sanskrit history education geography,c116785
method teaching mathematics,c116786
hindi lit sociology education,c116787
eng odia telugu hist eco pol science ir and pm edu,c116788
geography history englis bengali physical science life science mathematics sanskrit physical education fine art music,c116789
phy math,c116790
digital photography,c116791
eneis,c116792
eng hindi,c116793
hindi sanskrit polsci sociology psycology h science an history geography education,c116794
english mil odia telugu history political science home science economics education,c116795
beng sans eng wed geo hist lsc physc math,c116796
education bengali english history sanskrit geography,c116797
child care and development,c116798
tamil education english education mathematics education physical science education biological science education computer science educaton history education commerce education economics education,c116799
telugu english mathematics science social studies,c116800
bedse,c116801
education pt,c116802
hindi english history civics sst math gen science commerce,c116803
btc training 2014 and 2015,c116804
eco and marathi,c116805
tamil english mathematics science social science,c116806
b ped,c116807
hindi sanskrit pol science history geography,c116808
hindi english sanskrit civics history geography economics mathematics general science biology abst eafm,c116809
cc1 cps 1 cps 2 cps 3 cps 4 practum 1 and 2cc2cc03cc04cc05 practum 3 and 4,c116810
b ed,c116811
mathematics/ /biology/social/telugu/english/spl english,c116812
computer ed,c116813
pgdimarketing,c116814
mscbed computer science,c116815
marathi hindi eng science math his geo,c116816
gujarati hindi method,c116817
teacher edn,c116818
music art and cra,c116819
hindi english math sssc computer,c116820
bengali english arabic history geography life science physical science mathematics philosophy education,c116821
special eduaction,c116822
ncte 112221,c116823
mathematics physica,c116824
educatrion,c116825
primary education training,c116826
teacher en,c116827
ett regular subject,c116828
hindi eng math geo phy sans urdu,c116829
bengali english math physical science life science political science history geography arabic,c116830
comm prac,c116831
mojor,c116832
english home science,c116833
stc,c116834
gana shikshak,c116835
hindi pre,c116836
hindi'ancient history,c116837
mathematics/ /biology/social studies/english/telugu,c116838
physicsl science,c116839
bengali english history political science math education,c116840
deo,c116841
gujarati/hindi/sanskrit/english/mathematics/ science science,c116842
arts eng hons,c116843
edn hist pol science,c116844
science and humaniews,c116845
cupulsory,c116846
education geography,c116847
health promotion and education,c116848
sst punjabi hindi englsih science math eco etc,c116849
phy bio,c116850
neph,c116851
syptc,c116852
teachaer,c116853
psychology tshbe malayalam english mathematics science social science aewepeit,c116854
education counseling,c116855
prathma vocal,c116856
bengali english sanskrit mathematics life science geography history work education,c116857
arts/commarce/ science,c116858
inservice training,c116859
medical electrophysiology and laboratory science and rehabilitation science,c116860
mathematics physicalsciences biological science soicalstudies telugu english,c116861
hindi english history political science sanskrit bengali mathematics gepgraphy physical science education physical education music fine art life science,c116862
pre primary teacher training programme,c116863
fashion design and retial,c116864
eglish social science mathematics natural science physical science commerce,c116865
special education hearing impaired,c116866
education external,c116867
hindi english mathematics ss science sanskrit edu mathematics,c116868
elementary level,c116869
elemenrtary,c116870
science management with credits distance education,c116871
content and pedagogy management and business studies,c116872
counselling and guidance,c116873
child development e and s educational technology evs teaching mathematics teaching hindi teaching english art education work education health and physical education,c116874
bengali english sanskrit geography history work education math lsc education,c116875
arts/ science /commerce,c116876
diplomo,c116877
pedagogical science,c116878
special education ld,c116879
full,c116880
wed design and multimedia technology,c116881
medical lab and mole diagnostics technology,c116882
teahers education,c116883
arts science commres,c116884
pedagogy teaching,c116885
1 commerce 2 book keeping,c116886
video production and editing,c116887
teachr training,c116888
bache,c116889
textile and ginning technology community college,c116890
spl english,c116891
hindi english education,c116892
pre primary teachers training,c116893
web desgining,c116894
arts / commerce,c116895
pb orthopaedic and rehabilitation nursing course,c116896
btc traning,c116897
yogic foundation,c116898
special education v i,c116899
yogshatra,c116900
marathi hindi eng histoty geog math science,c116901
ved,c116902
education/d eled,c116903
mathematics sst sanskriteducation and mentalmeaserment computer education environment education hindi english physical science biology home science commerce,c116904
childhood and growng contemporary india 7 edu padagogy science understandingdisciplines science knowledge and curriculum learning 7 teachingassessmentfor learning pedagogy science pedagogystudy edu mangt creating and inclcomputer edu edutech ev,c116905
childhood and growing up contemporary india and education pedagogy science subjects understanding disciplines and science subjects reading and reflecting the texts knowledge and curriculum learning and teaching assessment for learning,c116906
basic teacher's,c116907
childhood and the development children contemporary indian society education society curriculum and learners towards understanding the self pedagogy across the curriculum understanding language and early literacy mathematics education for the primary,c116908
insurance and financial marketing,c116909
woman,c116910
geography pol science hindi history pub admn english,c116911
shiks btc training,c116912
mass communication education,c116913
childcare and education,c116914
education home science economics english political science,c116915
hindi english math education,c116916
educc i educc ii educc iii educc iv educc v educc vif educc vii educc vii,c116917
educarion,c116918
mthematics,c116919
hitory,c116920
gujarati methodology,c116921
art and cultural education,c116922
nonviolence and peace,c116923
gandhian studies,c116924
politiacl science,c116925
nvp,c116926
development and peace studies,c116927
science and ahimsa,c116928
peace making,c116929
peace research,c116930
vikash and shanti adhyayan,c116931
gandhian and peace studies,c116932
gandhian thought and peace studies,c116933
peace and nonviolence,c116934
gandhian studies and research,c116935
gandian thought,c116936
gandihan studies,c116937
gandhi and peace studies,c116938
peace study,c116939
mahatma gandhi life and philosophy,c116940
gandhian non violent conflict resolution,c116941
library & information science,c116942
b lib and science,c116943
m lib,c116944
foundation library and information science knowladge org and infjormation pro library clasification practice library cataloging practice mangagement library and information centres library and its users information sources and services,c116945
lib and info science,c116946
lib science,c116947
library and information science time,c116948
library and info,c116949
m lib and isc,c116950
library information science,c116951
library science e,c116952
library and inf science,c116953
libraryand information science,c116954
library and science,c116955
lib and inf science,c116956
blisc,c116957
library and information science integrated,c116958
graphic design,c116959
library science and information science,c116960
pgdlkm,c116961
m lib isc,c116962
research methods and statistical tech information comm and society information storage and retrieval advanced classfication practice adv cata practice information analysis consolidation and repackaging infromation and literature survey social science acad,c116963
libarary and information science,c116964
d lib,c116965
information sources,c116966
libraray and information science,c116967
flisiskolhkoitbrmcpicpiitbi,c116968
liberary and information science,c116969
b lib info science,c116970
digital information management,c116971
fm lib cs ind cbissca lib,c116972
library science b lib,c116973
granthayalaya vigyan,c116974
librry and information science,c116975
b lis,c116976
library and int,c116977
m lib science,c116978
main manuscriptology and paleography,c116979
m lib and inf science,c116980
library and information science part time,c116981
m lib info science,c116982
lib and isc,c116983
library and informatio n science,c116984
mlis supplementary shi,c116985
m phil info science,c116986
b lib and inf science,c116987
b lib isc,c116988
m phil library and informationscience,c116989
8 papers,c116990
lim,c116991
library and isc,c116992
library automation,c116993
library and information science digital,c116994
patinformatics,c116995
library and information science external,c116996
mlis,c116997
c lib,c116998
cinema and television,c116999
mlics,c117000
mlic,c117001
d lib and inf science,c117002
lib isc,c117003
master library information science,c117004
master library,c117005
bachelor library and info science,c117006
info science,c117007
lib inf science,c117008
granthalaya vartashastra,c117009
b lib and isc,c117010
phdof lib,c117011
library and informatio,c117012
libraray and infromation science,c117013
bachilor science,c117014
oriental librarianship,c117015
s per university syllabus,c117016
library and information technogloy,c117017
library and informationscience,c117018
library and information and science,c117019
library automation and ne2rk,c117020
b lib and isc with credits distance education,c117021
library and it,c117022
classical dance,c117023
instrumental music,c117024
textile design weaving printing and dyeing,c117025
art history and art appreciation,c117026
painting and science,c117027
vocal music,c117028
special course harmonium,c117029
arts and design,c117030
panting,c117031
musicology,c117032
kuchipudi,c117033
thevaram grade 1to8,c117034
title nattiyakalaimani,c117035
prathama kathak,c117036
swaravadya parichaya,c117037
foundation programme music,c117038
special course thumri,c117039
kathak/bharatnatayam/odissi,c117040
painting indian style,c117041
kathak,c117042
classical vocal prabuddha,c117043
vid i and ii kathak,c117044
graphics,c117045
harikatha,c117046
tabla,c117047
modeling and science,c117048
print making,c117049
bharathanatiyam,c117050
kovid percussion,c117051
thavil grade 1to8,c117052
arts and cras,c117053
penting,c117054
master fine art,c117055
prathma tabla,c117056
lassical vocal,c117057
fia,c117058
title isaikalaimani vocal,c117059
foreign casual course history art,c117060
bidari art,c117061
mirundangam grade 1to8,c117062
printing art 2nd yera,c117063
ainc murti kala,c117064
bachelor fashion designing,c117065
instrumental tabla,c117066
theatre art,c117067
pre foundation programme music,c117068
painting and visual communication,c117069
painting v85 with credits distance education,c117070
applied acting film and tv,c117071
thevara isaikalaimani,c117072
master finance and accounting,c117073
sitar,c117074
hons vocal iii and iv semester,c117075
madhyama vocal music,c117076
junior part 1 painting,c117077
painting science applied,c117078
bharathanattiyam grade 1to8,c117079
junior part 2 painting,c117080
science and visual communication,c117081
praveshika flute,c117082
hons violin iii and iv semester,c117083
madhyama kathak,c117084
vid kathak,c117085
madhyama i and ii kathak,c117086
swaravadya,c117087
bridge dramatics,c117088
bharatnatyam,c117089
folk instrument,c117090
prathama kar natic vocal,c117091
music instrumental,c117092
vocal classical,c117093
doddata,c117094
prathama bharatnatyam,c117095
prathama tabla,c117096
gitanjali senior,c117097
2d animation,c117098
music hons,c117099
esraj,c117100
geetanjali junior,c117101
applied and painting,c117102
vocal grade 1to8,c117103
graphic design/applied art,c117104
applied art: illustration,c117105
fine art music,c117106
science portraiture,c117107
bedii,c117108
traffic education and road safety,c117109
paiting,c117110
art education,c117111
master finance and accounts,c117112
vid violin,c117113
prathama tabl,c117114
b mus,c117115
karnataka music vocal,c117116
bridge instrumental tabla,c117117
percussion,c117118
graphic arts,c117119
bedi,c117120
photography and visual communication,c117121
videography,c117122
painting applied art science animation interior design,c117123
dance bharathanattiyam,c117124
art and cra,c117125
painting/applied art/ science,c117126
drama and theatre arts,c117127
kathak praveshika,c117128
madhyama bharatnatyam,c117129
kathak dance vid,c117130
sattriya music,c117131
performing art film and theatre,c117132
special course folk dance,c117133
dance: kuchipudi,c117134
madhyama music,c117135
drwawing and painting,c117136
performing art/ fine art/ visual art,c117137
ddiploma prinitng art 1styr,c117138
hons vocal i and ii semester,c117139
finearts,c117140
vid vocal music,c117141
vocal music prathama,c117142
prathama,c117143
painting indian stylean,c117144
ceramic art and pottery,c117145
music teacher training,c117146
hons vocal v and vi semester,c117147
vocal/inst,c117148
sangeet shiromani hindustani music,c117149
