,discipline,discipline_clean
186980,basic teacher's   certificate,basic teacher's
186985,Pol. Scinence,pol science
186995,"Childhood and the Development of Children,Contemporary Indian Society,Education, Society, Curriculum and Learners,Towards Understanding the Self,Pedagogy across the Curriculum,Understanding Language and Early Literacy,Mathematics Education for the Primary",childhood and the development children contemporary indian society education society curriculum and learners towards understanding the self pedagogy across the curriculum understanding language and early literacy mathematics education for the primary
186996,INSURANCE & FINANCIAL MARKETING,insurance and financial marketing
187007,Woman,woman
187012,"HINDI,GEOGRAPHY",hindi geography
187022,"GEOGRAPHY,POL.SCI,HINDI,HISTORY,PUB.ADMN.,ENGLISH",geography pol science hindi history pub admn english
187031,Shiks BTC Training,shiks btc training
187051,ALL COMPULSARY SUBJECT,computer subject
187058,Pre-school Education,pre science education
187064,B.Ed - Education,education
187074,Mass Communication Education,mass communication education
187097,Childcare and Education,childcare and education
187131,Education Home Science Economics  English  Political Science,education home science economics english political science
187158,E.T.T.,ett
187168,bengali,bengali
187182,EDUCATION FULL TIME,education
187186,hindi english math education,hindi english math education
187187,EDUCATION   FULL TIME,education
187194,"EDUCC-I,EDUCC-II,EDUCC-III,EDUCC-IV,EDUCC-V,EDUCC-VI F,EDUCC-VI I,EDUCC-VII",educc i educc ii educc iii educc iv educc v educc vif educc vii educc vii
187205,educarion,educarion
187252,MTHEMATICS,mthematics
187255,HITORY,hitory
187271,GUJARATI  METHODOLOGY,gujarati methodology
187285,EDUACTION,eduaction
187287,ART&CULTURAL EDUCATION,art and cultural education
187293,Nonviolence & Peace,nonviolence and peace
187294,Gandhian Studies,gandhian studies
187296,Politiacl Science,politiacl science
187302,Gandhian thought,gandhian thought
187303,NVP,nvp
187308,Development & Peace Studies,development and peace studies
187310,Science & Ahimsa,science and ahimsa
187313,PEACE MAKING,peace making
187314,Peace Research,peace research
187320,Vikash & Shanti Adhyayan,vikash and shanti adhyayan
187321,Gandhian & Peace Studies,gandhian and peace studies
187323,Gandhian Thought and Peace Studies,gandhian thought and peace studies
187325,GANDHIAN THOUGHT,gandhian thought
187329,Peace and Nonviolence,peace and nonviolence
187333,Gandhian Studies & Research,gandhian studies and research
187334,Gandian Thought,gandian thought
187336,Gandihan Studies,gandihan studies
187357,Gandhi and Peace Studies,gandhi and peace studies
187362,Peace Study,peace study
187363,gandhian studies,gandhian studies
187366,Mahatma Gandhi - Life and Philosophy,mahatma gandhi life and philosophy
187371,Post Graduate Diploma in Gandhian Non-Violent Conflict Resolution,gandhian non violent conflict resolution
187376,Master of Library and Information Science (MLISc),library & information science
187379,Library & information Science,library and information science
187380,library science,library science
187381,B.Lib & Sc,b lib and science
187390,LIBRARY SCIENCES,library science
187394,M.Lib.,m lib
187396,Library scinece,library science
187397,"Foundation of Library and Information Science, Knowladge org. and Infjormation Pro., Library Clasification(practice), Library Cataloging practice,Mangagement of Library and information centres, Library and its users, Information sources and services,",foundation library and information science knowladge org and infjormation pro library clasification practice library cataloging practice mangagement library and information centres library and its users information sources and services
187401,Lib. & Info Sci,lib and info science
187404,lib.sc.,lib science
187409,M.L.I.Sc.,library & information science
187413,Library Automation and Networking,library automation and ne2rking
187416,library Science,library science
187417,Library  & Information Science(Part Time),library and information science time
187419,B.LIB,b lib
187424,LIBRARY,library
187426,Bachelor of Library & Information Sciences(BLIS),library & information science
187429,INTEGRATED COURSE,integrated course
187430,LIBRARY & INFORMATION SCIENCE,library and information science
187431,library and info.,library and info
187432,M. Lib. & I.Sc.,m lib and isc
187435,Library Information Science,library information science
187436,library,library
187441,Library Science e,library science e
187442,Library Sci,library science
187443,Library & Inf. Science,library and inf science
187448,Libraryand Information Science,libraryand information science
187449,Library science,library science
187453,B. Lib.,b lib
187455,Master of Library & Information Sciences,library & information science
187456,Library & Science,library and science
187458,lib. and Inf. Sci,lib and inf science
187462,B.L.I.Sc,blisc
187463,LIBRARY SC,library science
187464,Library and Information Sciences,library and information science
187466,Library & Information science,library and information science
187468,Library & Information Science (Integrated),library and information science integrated
187476,MASTER OF LIBRARY AND INFORMATION SCENCE,library & information science
187477,Graphic design,graphic design
187478,Library Science & Information Science,library science and information science
187483,Bachelor of Library & Information Science,library & information science
187490,PGDLKM,pgdlkm
187491,M.Lib.I.Sc.,m lib isc
187492,LIBRARY & INFORMATION  SCIENCE,library and information science
187493,Library & Info.Sc.,library and info science
187498,Lib. Science,lib science
187500,Library & Information Sciences,library and information science
187503,"RESEARCH METHODS & STATISTICAL TECH, INFORMATION COMM. & SOCIETY, INFORMATION STORAGE & RETRIEVAL, ADVANCED CLASSFICATION PRACTICE, ADV. CATA. PRACTICE, INFORMATION ANALYSIS CONSOLIDATION & REPACKAGING, INFROMATION & LITERATURE SURVEY IN SOCIAL SCI., ACAD",research methods and statistical tech information comm and society information storage and retrieval advanced classfication practice adv cata practice information analysis consolidation and repackaging infromation and literature survey social science acad
187505,LIBARARY AND INFORMATION SCIENCE,libarary and information science
187507,M.Lib.I.Sc,m lib isc
187509,Library Scienceaxation,library science
187515,Master of Library Science,library & information science
187525,BLISC,blisc
187530,D.lib,d lib
187544,LIBRARY AND INFORMATION SCIENCE,library and information science
187547,LIB &INF. SCIENCE,lib and inf science
187549,INFORMATION SOURCES,information sources
187553,Library and Information Science ,library and information science
187554,M. Lib,m lib
187560,B.Lib.,b lib
187561,Library & Info Science,library and info science
187562,LIBRARAY & INFORMATION SCIENCE,libraray and information science
187566,"F.L.I.S., I.S,K.O,L.H.K.O.,I.T.B,R.M,C.P-I,C.P-I,I.T.B-I,",flisiskolhkoitbrmcpicpiitbi
187567,Liberary and Information Sci,liberary and information science
187569,B.Lib. Info. Science,b lib info science
187577,Digital Information  Management,digital information management
187581,"F.M.LIB,C.S.IND,C.B,I.S.S,C.A.LIB,",fm lib cs ind cbissca lib
187584,Library Sciences (B.Lib.),library science b lib
187588,Granthayalaya Vigyan Shastri,granthayalaya vigyan
187589,Library Scienc,library science
187600,library & information science,library and information science
187601,LIBRRY & INFORMATION SCIENCE,librry and information science
187603,Diploma in (Library & Information Sciences),library and information science
187611,Library & Inf Science,library and inf science
187614,B.LIS,b lis
187616,LIBRARY AND  INFORMATION SCIENCE,library and information science
187618,Library & Int,library and int
187621,Library and information Science,library and information science
187632,M.Lib. Sc,m lib science
187633,M.A. in Manuscriptology & Paleography,main manuscriptology and paleography
187634,B.Lib,b lib
187640,M.Lib. & Inf. Sc.,m lib and inf science
187645,Library & Information Science (Part Time),library and information science part time
187646,Lib Science,lib science
187649,M.Lib. Info Science,m lib info science
187651,Library Information science,library information science
187652,Lib & I.Sc.,lib and isc
187662,Library and Information Sc.,library and information science
187688,LIBRARY AND INFORMATIO N SCIENCE,library and informatio n science
187697,Library and Information science,library and information science
187700,Library Sci.,library science
187701,LIBRARY AND INFORMATION,library and information
187704,MLIS Supplementary Shift,mlis supplementary shi
187708,M.Phil. Info Science,m phil info science
187712,B.Lib. & Inf. Sc.,b lib and inf science
187715,Library and Information Science - Part Time,library and information science part time
187716,library and info,library and info
187717,LIBRARY SCIENCE ,library science
187722,B.Lib. I. Sc.,b lib isc
187724,M.Phil of Library & InformationScience,m phil library and informationscience
187728,8 PAPERS,8 papers
187729,LIM,lim
187736,Library & Info. Sc.,library and info science
187737,Library & I.Sc.,library and isc
187747,B.Lib.I.Sc.,b lib isc
187752,Library Automation,library automation
187755,M.L.I.Sc,library & information science
187758,Library & Information Science (digital),library and information science digital
187763,M.Lib.Sci.,m lib science
187764,Library and Information  Science,library and information science
187770,Library sci,library science
187774,M.LIB,m lib
187777,Lib. & Info. Science,lib and info science
187782,M.Lib. I.Sc.,m lib isc
187783,LIBRARY INFORMATION AND SCIENCE,library information and science
187785,Patinformatics,patinformatics
187786,Bachelor of Library Science,library & information science
187795,Library & Information Sc,library and information science
187800,Library & Information Science (External),library and information science external
187803,lib. sc.,lib science
187811,M.Li.Sc,library & information science
187814,LIBRARY& INF SC,library and inf science
187824,Diploma in Library & info. Science,library and info science
187830,B.Lib.I.Sc,b lib isc
187833,M.Lib,m lib
187835,MLIS,mlis
187839,All Sub. of I/ii yr,sub i/ii yr
187846,B Lib,b lib
187850,C.Lib.,c lib
187853,Cinema & Television,cinema and television
187855,MLICs,mlics
187858,Master in Library  & Information Science,library & information science
187859,Library & Info Sc,library and info science
187860,Library  Science,library science
187872,MLISc,library & information science
187873,LIBRARY & iNFORMATION,library and information
187893,M.L.I.C,mlic
187895,LIBRARY & INFORMATION,library and information
187899,Library Scinece,library science
187901,Libraray & information Science,libraray and information science
187904,Diploma in Library Science,library science
187906,D.Lib & Inf. Sc.,d lib and inf science
187908,Library Information Science ,library information science
187921,Lib.I.Sc,lib isc
187923,Master of Library & Information Sciences (M. Lib. I. Sc.),m lib isc
187924,Library & Information Scinece,library and information science
187929,MLISC,library & information science
187930,Master of Library Information Science,master library information science
187931,Master of Library,master library
187933,Bachelor of Library and Info Sc,bachelor library and info science
187953,Ph.D.Info.Science,info science
187954,M.Lib.Sc. -Master of Library Science,m lib science
187957,Lib. Inf. Sc.,lib inf science
187969,Granthalaya Vartashastra,granthalaya vartashastra
187971,B. Lib. & I. Sc.,b lib and isc
187976,SOCIAL SCIENE,social science
187978,Ph. D. of Lib,phdof lib
187981,Library & Info Scienec,library and info science
187984,Library & Informatio,library and informatio
187993,Library & Information Science Integrated,library and information science integrated
188003,As per university  syllabus,as per university syllabus
188004,Master in Library and  Information Science,library & information science
188015,LIBRARAY & INFROMATION SCIENCE,libraray and infromation science
188018,Bachilor of sciece,bachilor science
188022,library sci,library science
188027,B.LIB.I.SC,b lib isc
188028,Oriental Librarianship,oriental librarianship
188032,s per university  syllabus,s per university syllabus
188040,LIBRARY & INFORMATION TECHNOGLOY,library and information technogloy
188047,D. Lib,d lib
188051,B.LIB.I.SC.,b lib isc
188056,Library Sc.,library science
188069,Library & InformationScience,library and informationscience
188071,Library & Information & Science,library and information and science
188080,LIB and Inf. sci,lib and inf science
188084,Library Automation & Network,library automation and ne2rk
188085,B.Lib & I.Sc. (with Credits) - Distance Education,b lib and isc with credits distance education
188092,LIBRARY & IT,library and it
188095,Classical Dance,classical dance
188096,Instrumental Music,instrumental music
188097,"Textile Design (Weaving,Printing & Dyeing",textile design weaving printing and dyeing
188098,Art History & Art Appreciation,art history and art appreciation
188103,painting & Sculpture,painting and science
188104,Vocal Music,vocal music
188105,Special Course-Harmonium,special course harmonium
188106,Fine-Arts,fine arts
188109,Arts & Design,arts and design
188110,panting,panting
188111,Musicology,musicology
188114,Doctor of Philosophy in  Music,music
188116,KUCHIPUDI,kuchipudi
188120,Thevaram Grade 1 to 8,thevaram grade 1to8
188121,BACHELOR OF DANCE,performing arts
188122,TITLE OF NATTIYAKALAIMANI,title nattiyakalaimani
188125,Prathama-Kathak,prathama kathak
188127,Swaravadya-Parichaya,swaravadya parichaya
188128,FOUNDATION PROGRAMME IN MUSIC,foundation programme music
188129,MFA (AA),fine arts
188132,Special Course-Thumri,special course thumri
188133,Kathak/Bharatnatayam/Odissi,kathak/bharatnatayam/odissi
188134,Painting Indian  Style,painting indian style
188135,Kathak,kathak
188136,Classical Vocal-Prabuddha,classical vocal prabuddha
188140,Vid I & II Kathak,vid i and ii kathak
188142,Graphics,graphics
188143,Harikatha,harikatha
188145,TABLA,tabla
188146,Modeling & Sculpture,modeling and science
188148,Print Making,print making
188150,Bharathanatiyam,bharathanatiyam
188152,kovid percussion,kovid percussion
188156,BFA,fine arts
188160,Thavil Grade 1 to 8,thavil grade 1to8
188161,Applied Art,applied art
188162,Arts & Crafts,arts and cras
188163,penting,penting
188164,MASTER OF FINE ART,master fine art
188165,Painting & Sculpture,painting and science
188173,Prathma-Tabla,prathma tabla
188174,painting,painting
188176,lassical Vocal-MPA,lassical vocal
188180,BBA(FIA),fia
188182,TITLE OF ISAIKALAIMANI-VOCAL,title isaikalaimani vocal
188186,Foreign Casual Course in History of Art,foreign casual course history art
188187,Bidari Art,bidari art
188189,Mirundangam Grade 1 to 8,mirundangam grade 1to8
188190,Diploma in Printing Art  2 nd yera,printing art 2nd yera
188192,AINC MURTI KALA,ainc murti kala
188193,Bachelor of Fashion Designing,bachelor fashion designing
188194,FINE ART,fine art
188199,Instrumental Tabla,instrumental tabla
188201,Theatre Art,theatre art
188202,Pre-Foundation Programme - Music,pre foundation programme music
188212,MFA,fine arts
188213,Painting & Visual Communication,painting and visual communication
188214,Visual art,visual art
188219,BFA - Painting (V85) (with Credits) - Distance Education,painting v85 with credits distance education
188220,Applied Acting ( Film & TV ),applied acting film and tv
188221,Thevara Isaikalaimani,thevara isaikalaimani
188228,MFA in Animation,animation
188230,"Textile Design(Weaving,Printing &Dyeing",textile design weaving printing and dyeing
188236,B.F.A.,fine arts
188237,Photography,photography
188238,Master of Finance  & Accounting,master finance and accounting
188239,Sitar,sitar
188241,Bachelor of Music,music
188242,B.A. (Hons) - Vocal III & IV Semester,hons vocal iii and iv semester
188243,Madhyama-Vocal Music,madhyama vocal music
188244,JUNIOR CERTIFICATE PART-1 PAINTING,junior part 1 painting
188248,"Painting,Sculpture,Applied",painting science applied
188249,Fine arts,fine arts
188253,applied Art,applied art
188258,Bharathanattiyam Grade 1 to 8,bharathanattiyam grade 1to8
188263,JUNIOR DIPLOMA PART-2 PAINTING,junior part 2 painting
188264,APPLIED ART,applied art
188265,Bachelor of Fine Arts (BFA),fine arts
188267,Sculpture & Visual Communication,science and visual communication
188270,Praveshika_ Flute,praveshika flute
188273,B.A. (Hons) Violin - III & IV Semester,hons violin iii and iv semester
188278,Tabla,tabla
188279,Master of Music,music
188281,madhyama kathak,madhyama kathak
188282,Vid-Kathak,vid kathak
188283,Madhyama I & II Kathak,madhyama i and ii kathak
188285,Swaravadya-BPA,swaravadya
188286,Bridge Dramatics,bridge dramatics
188287,Swaravadya-Parangat,swaravadya
188288,Bharatnatyam,bharatnatyam
188289,Folk Instrument,folk instrument
188291,Madhyama-Vocal,madhyama vocal
188295,PRATHAMA       KAR NATIC VOCAL,prathama kar natic vocal
188296,Music Instrumental,music instrumental
188298,Performing Art,performing art
188301,Vocal Classical,vocal classical
188303,Doddata,doddata
188304,Prathama-Bharatnatyam,prathama bharatnatyam
188308,PAINTING,painting
188311,BFA in Applied Arts,applied arts
188315,Graphic Design,graphic design
188319,PRATHAMA TABLA,prathama tabla
188321,Vocal Music-Ph.D.,vocal music
188322,Gitanjali-Senior,gitanjali senior
188323,KATHAK,kathak
188324,2D Animation,2d animation
188325,Madhyama - Vocal,madhyama vocal
188327,Music(Hons),music hons
188330,Master of Fine Arts (MFA),fine arts
188331,Esraj,esraj
188333,Geetanjali - Junior,geetanjali junior
188338,Applied & Painting,applied and painting
188339,Vocal Grade 1 to 8,vocal grade 1to8
188340,visual arts,visual arts
188343,Graphic Design/Applied Art,graphic design/applied art
188348,Applied Art: Illustration,applied art: illustration
188351,master of Fine Arts,fine arts
188361,Fine Arts (Music),fine art music
188365,JUNIOR DIPLOMA PART-1 PAINTING,junior part 1 painting
188366,Sculpture: Portraiture,science portraiture
188368,B.Ed. -II,bedii
188370,Traffic Education and Road Safety,traffic education and road safety
188379,paiting,paiting
188381,Art Education,art education
188386,Master of Finance and Accounts,master finance and accounts
188389,Vid  - Violin,vid violin
188390,Prathama-Tabl,prathama tabl
188391,B.Mus,b mus
188394,Karnataka Music Vocal,karnataka music vocal
188396,Bridge Instrumental Tabla,bridge instrumental tabla
188397,Prathma-tabla,prathma tabla
188398,Percussion,percussion
188402,Ceramic,ceramic
188403,BFA in Fashion,fashion
188404,Philosopy,philosopy
188405,Graphic Arts,graphic arts
188406,BFA-VC,fine arts
188409,B.Ed. -I,bedi
188411,Photography & Visual Communication,photography and visual communication
188413,Videography,videography
188415,"Painting, Applied Arts, Sculpture, Animation, Interior Design",painting applied art science animation interior design
188416,PRE FOUNDATION PROGRAMME IN MUSIC,pre foundation programme music
188418,Dance Bharathanattiyam,dance bharathanattiyam
188426,Art and craft,art and cra
188428,BFA in Textile Design,textile design
188429,M.F.A.,fine arts
188430,Painting/Applied art/Sculpture/Animation,painting/applied art/ science
188435,Drama and Theatre Arts,drama and theatre arts
188438,Kathak_Praveshika,kathak praveshika
188440,Madhyama-Bharatnatyam,madhyama bharatnatyam
188442,KATHAK DANCE VID,kathak dance vid
188444,Sattriya Music,sattriya music
188447,Performing Arts (Film & Theatre),performing art film and theatre
188448,vid vocal,vid vocal
188453,Special Course-Folk Dance,special course folk dance
188455,Dance: Kuchipudi,dance: kuchipudi
188457,Madhyama-Music,madhyama music
188460,Drwawing and Painting,drwawing and painting
188464,Performing Art/ Fine Art/ Visual Art,performing art/ fine art/ visual art
188467,DDiploma In Prinitng  Art    1 st yr,ddiploma prinitng art 1styr
188472,B.A. (Hons) - Vocal - I & II Semester,hons vocal i and ii semester
188475,FINEARTS,finearts
188478,Painting and Sculpture,painting and science
188480,Vid-Vocal Music,vid vocal music
188481,VOCAL MUSIC PRATHAMA,vocal music prathama
188482,Prathama,prathama
188490,Painting Indian Stylean,painting indian stylean
188491,Ceramic Art & Pottery,ceramic art and pottery
188495,Music Teacher Training,music teacher training
188496,B.A. (Hons) - Vocal - V & Vi Semester,hons vocal v and vi semester
188498,Vocal/Inst.,vocal/inst
188499,Sangeet Shiromani (Hindustani Music),sangeet shiromani hindustani music
188500,Vid-Music,vid music
188503,Hindustani Vocal,hindustani vocal
188505,"KATHAK DANCE, TABLA, SUGAM SANGEET",kathak dance tabla sugam sangeet
188506,"Vocal,Tabla,violin,Sitar",vocal tabla violin sitar
188507,Tabla_Praveshika,tabla praveshika
188510,Special Course-Light Music,special course light music
188512,Prathama I & II Vocal,prathama i and ii vocal
188514,Instrumental Harmonium / Sitar / Violin,instrumental harmonium / sitar / violin
188515,Swaravadya-MPA,swaravadya
188517,kathak and choreography,kathak and choreography
188518,Pakhwaj,pakhwaj
188519,Foreign Casual Course in Classical Vocal,foreign casual course classical vocal
188520,kovid vocal,kovid vocal
188522,VID  KATHAK DANCE,vid kathak dance
188523,Foreign Casual Course in Kathakali Dance,foreign casual course kathakali dance
188524,vid instru,vid instru
188525,Rabindra Sangit,rabindra sangit
188527,Taalvadya-Ph.D.,taalvadya
188528,Taalvadya-Prabuddha,taalvadya prabuddha
188532,Vid-Tabla,vid tabla
188542,MADYAMA    KARNATIC VOCAL,madyama karnatic vocal
188544,Bachelor of Performing Arts (BPA),performing arts
188545,Foreign casual course in Rabindra Sangit,foreign casual course rabindra sangit
188546,Dance-MPA,dance
188547,Performing Arts ,performing arts
188549,B.Dance,b dance
188550,Classical Vocal,classical vocal
188553,Prathama-1-2 Kathak,prathama 12 kathak
188560,MASTER OF PERFORMING ART,master performing art
188561,Western Music,western music
188565,Hindusthani Music Vocal,hindusthani music vocal
188567,Hindusthani Vocal,hindusthani vocal
188569,MFA in Painting,painting
188570,Taalvadya-Praveshika,taalvadya praveshika
188572,MADYAMA TABLA,madyama tabla
188573,Gitanjali-Jnior,gitanjali jnior
188574,String Instruments Veena,string instruments veena
188576,Painting Textile Design,painting textile design
188582,INSTRUMENTAL TABLA MADHYAMA,instrumental tabla madhyama
188583,M.Mus.,m mus
188585,vocal & Instrumental,vocal and instrumental
188586,Rabindra Sangeet,rabindra sangeet
188587,Metal Work,metal work
188589,Master of Arts in Music,master art music
188590,tabla,tabla
188591,GEETANJALI JUNIOR  DIPLOMA,geetanjali junior
188592,B.A.( Hons) Violin - V & VI Semester,hons violin v and vi semester
188593,Vid - Tabla,vid tabla
188594,Film & Theatre,film and theatre
188595,vocal,vocal
188596,Madhyama - Violin,madhyama violin
188597,"Instrumental Music ( Miruthamgam, Thavil)",instrumental music miruthamgam thavil
188599,Sangeetika (Junior and Senior),sangeetika junior and senior
188600,Bachelor of Arts in Music,bachelor art music
188602,Dance-Parangat,dance
188603,Bharatnatyam / Katthak,bharatnatyam / katthak
188606,B.A. (Hons) Kathak Dance  III & IV Semester,hons kathak dance iii and iv semester
188608,B.A. ( Hons) - Tabla - V & VI Semester,hons tabla v and vi semester
188610,Madhyama - Tabla,madhyama tabla
188611,Vid - Kathak Dance,vid kathak dance
188614,Madhyama I & II Vocal,madhyama i and ii vocal
188617,Performing Folk Arts,performing folk arts
188618,vid percussion,vid percussion
188619,KATHAK DANCE MADHYAMA,kathak dance madhyama
188620,madhyama percussion,madhyama percussion
188621,Kathakali Dance,kathakali dance
188623,PRATHAMA  KATHAK DANCE,prathama kathak dance
188625,vid kathak,vid kathak
188626,Classical Vocal-BPA-,classical vocal
188628,kovid kathak,kovid kathak
188629,Satvikabhinayam,satvikabhinayam
188636,Manipuri Dance,manipuri dance
188641,Dance & Music,dance and music
188642,KATHAK DANCE PRATHAMA,kathak dance prathama
188643,Burrakatha,burrakatha
188644,Vid-Vocal,vid vocal
188652,"Art, Drawing and Printing",art drawing and printing
188653,Appied Arts,appied arts
188658,Painting_ Junior Certificate,painting junior
188659,Certificate Course in Plastic Arts,course plastic arts
188663,Photograophy,photograophy
188666,Visual arts,visual arts
188667,PDVA (Painting),pdva painting
188669,sculpture,science
188670,Pratham-Tabla,pratham tabla
188671,madhyamavocal,madhyamavocal
188672,PG Diploma in Vocal Music,vocal music
188677,MADYAMA BHARATHANATYAM,madyama bharathanatyam
188678,Percussion Instruments Mrudanga,percussion instruments mrudanga
188679,MADHYAMA TABLA,madhyama tabla
188681,Taalvadya-Parangat,taalvadya
188682,Perini Nritya Visarada,perini nritya visarada
188683,Madhyama-Kathak,madhyama kathak
188686,Kuchipudi & Andhranatyam,kuchipudi and andhranatyam
188692,Taalvadya-BPA,taalvadya
188695,"B.A.,Dance",dance
188697,Madhyama Dance,madhyama dance
188702,Dance (Manipuri),dance manipuri
188703,Kathak Prathama,kathak prathama
188704,Prathama I & II  Tabla,prathama i and ii tabla
188706,Kathak_Kala Vid,kathak kala vid
188711,Bharathanatyam Teacher,bharathanatyam teacher
188713,Dance-BPA,dance
188714,UG Diploma in Dance,dance
188716,B.M.M,visual arts
188718,Kathak_Madhyama,kathak madhyama
188719,Swaravadya-Prabuddha,swaravadya prabuddha
188720,Prathma-Dance,prathma dance
188721,Vid I & II Vocal,vid i and ii vocal
188722,Madhyama-Tabla,madhyama tabla
188728,Swaravadya-Praveshika,swaravadya praveshika
188732,ODISHI DANCE,odishi dance
188734,Chhau,chhau
188735,Fine Art Music,fine art music
188736,M.A.MUSIC,music
188739,Foreign Casual Course inTabla,foreign casual course intabla
188742,Madhyama-Dance,madhyama dance
188745,Instruments,instruments
188747,UG Diploma in Instrumental Music,instrumental music
188748,Dance: Bharatanatyam,dance: bharatanatyam
188752,Bridge course (Vocal),bridge course vocal
188755,PRATHAMA  BHARATHANATYAM,prathama bharathanatyam
188762,Certificate Course in Pottery Ceramics,course pottery ceramics
188763,DIPLOMA IN SOFT SKILLS,soskills
188767,Indian Dance Form,indian dance form
188769,Painting IS,painting is
188771,Art History,art history
188773,INTERIOR,interior
188776,Bhakthi Sangeetam,bhakthi sangeetam
188779,Praveshika_ Violin,praveshika violin
188783,Natuvanga Kalaimani,natuvanga kalaimani
188795,Taalvadya-Parichay,taalvadya parichay
188796,Dance-Praveshika,dance praveshika
188797,Vid I & II Tabla,vid i and ii tabla
188802,SUGAM SANGEET,sugam sangeet
188803,Ph.D in Music,phdin music
188805,Prathama-Vocal,prathama vocal
188808,prathama instru,prathama instru
188811,Traditional Sculpture & Temple Architecture,traditional science and temple architecture
188812,MULTIMEDIA AND COMMUNICATION,multimedia and communication
188820,Performing Art Bharatnatyam,performing art bharatnatyam
188823,SCULPTURE,science
188830,History of Art,history art
188837,6 months Certificate Course in Dying & Printing(Full time),6 months course dying and printing
188839,Yakshaganam,yakshaganam
188841,Musiology,musiology
188844,Photography and Videography,photography and videography
188846,ADVERTISING,advertising
188848,Mimicry,mimicry
188851,Padyanatakam,padyanatakam
188854,Classical Vocal-Parangat,classical vocal
188857,Classical Vocal-Parichaya,classical vocal parichaya
188858,Prathama-1-2 Vocal,prathama 12 vocal
188860,"Music,Dance,Dramatics, Gamaka.SIS,Kannada, English, Hindi, Sanskrit",music dance dramatics gamaka sis kannada english hindi sanskrit
188862,Taalvadya-MPA,taalvadya
188863,Madhyama-1-2 Kathak,madhyama 12 kathak
188868,Swarvadya-Ph.D.,swarvadya
188870,vid bharathanatyam,vid bharathanatyam
188871,Vid-Bharatnatyam,vid bharatnatyam
188877,"Painting,Applied Art,Sculpture,Print Making Painting ( Indian Style)",painting applied art science print making painting indian style
188884,H/A,h/a
188887,"Applied Art and Advertising (ASAS,Kochi)",applied art and advertising
188890,B.Mus.,b mus
188896,Painting_ Certificate course,painting course
188898,Foreign Casual Course in Design,foreign casual course design
188902,Film & Television,film and television
188905,Certificate Course in Painting,course painting
188907,Art and Craft,art and cra
188911,Fine Arts Higher Grade,fine art higher grade
188913,Praveshika_ Harmonium,praveshika harmonium
188920,prathima shilpa,prathima shilpa
188924,Design Wood & Leather,design wood and leather
188925,Video Production,video production
188926,Painting_ Diploma Course,painting course
188931,Geetanjali - Senior,geetanjali senior
188932,Vid-Dance,vid dance
188933,Vid-1-2 Kahtak,vid 12 kahtak
188936,Dance-Parichaya,dance parichaya
188944,Certificate Course in Advertising Design,course advertising design
188946,Commercial Arts,commercial arts
188947,madhyama intru,madhyama intru
188949,Dance-Ph.D.,dance
188952,Embroidery,embroidery
188954,Classical Vocal-Praveshika,classical vocal praveshika
188955,Bridge Instrumental Harmonium / Sitar / Violin,bridge instrumental harmonium / sitar / violin
188959,Portrait Composition & Landscape),portrait computer and landscape
188960,M.Phil. (Music- Vocal and Instrumental),m phil music vocal and instrumental
188966,MADHYAMA  KATHAK DANCE,madhyama kathak dance
188967,vocal/harmonium/tabla/sitar,vocal/harmonium/tabla/sitar
188968,Foreign Casual Course in Esraj,foreign casual course esraj
188971,"Compalsory subject :-English,Hindi/Mrathi,Heritage of   indian arts &culture /optional subject any one group in one subject:- 1) Dance-kathak/oddisi/bhartnatyam/ 2) vocal classical music/3)Indian classical instrument:-sitar/tabla/vaolin/4)Drama",computer subject : english hindi/mrathi heritage indian art and culture /optional subject 1 group 1 subject: 1 dance kathak/oddisi/bhartnatyam/ 2 vocal classical music/3 indian classical instrument: sitar/tabla/vaolin/4 drama
188972,Percussion Instruments  Tabala,percussion instruments tabala
188973,prathama vocal,prathama vocal
188975,Percussion Instruments Tabala,percussion instruments tabala
188976,Prathma-dance,prathma dance
188986,PDVA (Sculpture),pdva science
188991,Media studies,media studies
188994,Media &communication,media and communication
188995,APPLIED VIDEOGRAPHY,applied videography
188998,mass commnication,mass commnication
189003,Applied Art: Graphic Design,applied art: graphic design
189008,M/S,m/s
189009,Indian & Western Arts & Aesthetics,indian and western art and aesthetics
189013,Specialised,specialised
189014,ADVANCE FINE ARTS,advance fine arts
189015,Madhyama_ Violin,madhyama violin
189016,VISUAL ARTS,visual arts
189018,INSTRUMENTAL SITAR PRATHAMA,instrumental sitar prathama
189034,"Tibetan Traditional Woodcraft and Painting,",tibetan traditional woodcraand painting
189038,Fine Arts (Applied Arts),fine art applied arts
189041,Foreign Casual Course in Painting,foreign casual course painting
189042,Fine Arts Lower Grade,fine art lower grade
189048,Ph.D. (Fine Arts ),fine arts
189049,Film Direction,film direction
189055,BFAD,bfad
189057,MFA-VC,fine arts
189059,MA in Film Arts,main film arts
189063,ART FOR DRAWING TEACHER,art for drawing teacher
189064,Kathakali Dance      ,kathakali dance
189065,KOVID VOCAL,kovid vocal
189068,Tabla Prathama,tabla prathama
189070,Madhyama-1-2 Vocal,madhyama 12 vocal
189071,prathama kathak,prathama kathak
189073,Folksong  Traditions,folksong traditions
189075,"Odissi Vocal,Odissi Dance,Odissi Pakhawaj(Mardal),Tabla,Hindusthani Vocal",odissi vocal odissi dance odissi pakhawaj mardal tabla hindusthani vocal
189078,Kalapravesika,kalapravesika
